# kaisersolver self-audit corpus (last 14d wins, both chains)
base,0x4a34ef0d4acdc2eecd4444f9453a1c4ae368a9648876fc95b89e30e2f513cfdb
base,0x3f15c59bad11b421496a61cab62e286dfc91c86ad81aed1edce87651957014a9
base,0x5ad9b322fe72dc2440cbf7ce56f75beed2b9feda31f12e29490a362b2cd4b1d3
base,0x75a7e19e767e920cc0803f6acc094d6829c5174299cd9074cf8b19913e878364
base,0x7b64867d41ad838347caf41a70ec5997a3fdc938c3eea19ad450005a9ba46450
base,0x4ed9c3f6c7a81a27aaaccb6206bddc14c86c6c56831d393a106c329b824905cf
base,0xa5a6bfbe14c7a3316a00769630248897d353559010895c1b1a34cbda2a590ce4
base,0x48425e9bddbb8596e3eefd3656dfc17c9807e388fd476dda7a3373265d3af13b
base,0xb3b8e093b991cbbf94d573667c017d16b1b38346bd2fb1483cd3d7fc4255f72c
base,0x19a9e213f32ad66e79eb560ff9f63609e03e330020338f79fcc16d1c93c0dde1
base,0x6a45b9ba4eff2b69addcfdc389f37a366c2a6576f483458b4b348c36acbbe919
base,0x50c7c8935bbe3c89225ada870c3027a6f44d19a3897d5b579e200eaaf3d98e88
base,0x132e3181c284ba61c423087873429cba714129f4f8226bc8b356909a18fc3f5e
base,0x4b51d418315e7ea90c76e422039b9df73454c4c3f1564ff4d7e8018d605ff2a1
base,0x960b3650052a4280c839a0b6013cb3750e3b25dcf9c9ea5ef10ef381a50eddde
base,0xbba403dd905636da7b0342544576534d0f902b60d2497705614f2eaf76cf689b
base,0x5bf17f810acb432012e8aa59864c93d0513a0f14237df59cad58e95d0eda06dc
base,0x091adec5d46070adf42a81e44ee12dd7e6c1551edafce238e3a97128b146196c
base,0x859d015d472ab27905ef704ec48b7c3e11b0e0cc5c86e09bfd885acb04ca1aee
base,0x4f07eb22a12ae6c2b2e55a343707a1ce767b5a2225522dc3b45889b5e0b1af5d
base,0xccebaac2deab655dcaf6ab85b83064e95cebc5295760021342975fd855ee6a26
base,0xa8f1195614ef7544c9c55b108da7863a3e8e45e21062d75c252d997a63f7620c
base,0x50662cdebd6a2fce92fa29203ef5f3248a2915ad76f736cdbd1365cece5b7b2a
base,0x765f974aa45bb32dc938e42570c108e0b5283c5fd7e01f5f1d14eb6645fea92f
base,0x0a36314abece40a026a693f0e7f0e8ba542be9708958aa32c3ea97809b51b698
base,0xec5702838d760d62c8a7e3788d3478d3d03bb498bcba11e4949d705716a1b4fe
base,0x101216032762ef1a7eab8a0b399f74174819837a21f04c02e8ef8d70db91e8a3
base,0x3480ea78415caf229318138658f52c1e68138f63cab028f5a5247a0d918d011e
base,0x2eb26ab94412b0130355edf251a6c1ad7af69458e0be38b8df6fee44aaaa63d3
base,0x008027f693890efcf76e88556c9695ae8f758bad778256604a4ffd500cd6c64e
base,0xfeffcaf145ea8e3dce4e6e738768ba20faf4e311d7a1eac4c9df6206f2f31e0e
base,0x812daba53332c85a77d78ebb7d2d6bca915b9c3397986e68caa80f8853da746e
base,0x70903e375e945b1366f7b2204965d560e826ff61353b7e06ebf215a8f4cc4ef8
base,0xb17e65411bbb0277d7c60b0204985230ce7eb5433607f9d7c3f8bc7448048236
base,0xda0e611c7d7955be43c4fbb4ac36bc98ea339a18a0c475179bf54c0dcbaf732e
base,0x651128dda8bc1d18589dbe35538cc672c973f98200ef090d533b4ecd8ea4f460
base,0x50d084dfd77f848d25f6e3bfe61e91cbf911155396de834ea3609362242b1057
base,0x4a5026a3e33ecd65ed70f466c12ff93b01bf3df06c674b885d9fc64e507bed8c
base,0x9384fdbc4e6afe31561aa1edfeeca58661baab4c8469fff91b3d130e0214bce5
base,0xb0257190b7cb1b40405e4ee861cef42da5febe9e56d1718cab1e6bf0cefad107
arbitrum,0xd2804e253e4157ac7613c9cae96ecfe44f3e9d1a40fb8a7fb71b118597e50b84
arbitrum,0x9733244a913ff77605cf550b5f0ab20b226cf8b2972c64f7e1212c8ed3907d22
arbitrum,0xb8c1654e2856d53080f0fd50d6b62e62a0f3b09823df0d163725d1bd09b31b08
arbitrum,0x7df8db8f5823e017afbab35972fccf22cf0bd59fa271ef029ca0912d871c3765
arbitrum,0x6902709befeca5cef9c4e9b676f383b695fe18c4aaceff786de05cda64f4f544
arbitrum,0x6057f85305690011a430484d0ec35de362bb9ad76631c1a72fd2c6738766168f
arbitrum,0x787f87a6c25ca837848b59ea30c4f02eddc209237850de4a3f1e3c2af73a050d
arbitrum,0xb3dfb987585e570c282072e25f2939aba1c8573ccd2d7610a1999bdbf4687d4d
arbitrum,0xf94470d5a38a1baf07214300886f8fd17983c4f388025441c20358b1446551fb
arbitrum,0x801d71fe3fbd9585e62367b28340cb30002fd1b60e1b362e45f299a1f5bc1734
arbitrum,0xd864bc5eccf25df973143bbadbfe39eb7ecc59f996130bbf8c942e572e021ad7
arbitrum,0xa5286e997f0b6e0f9cc5e0f927870fa576f853f046cf271fb34da7101b63f9a0
arbitrum,0xc103e7f2f31f6c302de778dda0fc5c10c8ec27e638b97fb47442235b305075cc
arbitrum,0x73a55170f4b08de1dd5ef637310a1ac3786c16a58fb8435d85fb96ad0dd2ea5e
arbitrum,0xe7c897ce4b6087ec760b019c1d4f551ecaee168ad81762117b36e5d71f6541ae
arbitrum,0x5b29380917ad7f8deb27d91fb79eb72b006b37b145ab8e92fe3ca0d7c0b72311
arbitrum,0xe526bbe3dd091b683e36f9532a05e63fb6aa4e214124d85cedce0241b8604dd0
arbitrum,0x5c201ad19b0efa8eb1f8f4dcd4037e69b982ed1c394370c9ab469e184297c3ce
arbitrum,0x9b134e4dc950c695257dfc30453aaf4b30b4e0e085e7c3a7816a3712fc7af828
arbitrum,0x2dc78eabdfaf0ebed8c40e04cb0e9496d6a4f57f51acb336edeee3e5f05a0f63
arbitrum,0x4fc76ef5e59ba16cdaf52a1a43698cb3d2aa97dd371b69c9647d803bcd305d76
arbitrum,0x0ec20d7f034fe8876ea550778ead953fcff6a7947bd4a97895a37efbb94544f8
arbitrum,0x0129d692462124f0cf6730a146c981bacbc2bacffd344402aacecb2979ff891e
arbitrum,0x114746b19d519bb908914f69f77f6931ffa2962d600dbb40d810b0c661ede049
arbitrum,0x1312d4f757b8bd244e311e21a5988ceeb3766d3a02de715fe2a0711f3005f0ad
arbitrum,0x9fce11b47328f21137fa53d691842cf13c4ba776ac7b146051235caaf4e42f53
arbitrum,0x30f77f0e7baafaeaa7621f560acc74a051180da8849ef8bd8e25f4593445d4fb
arbitrum,0x26c33a1eaeaabb33d3da44c9653d6cf155044159994414b4632be0facdc51019
arbitrum,0x62d24893e3800ed03d04345320c6980ae60644c7fcf9c85933614974a8861325
arbitrum,0x4b95918b2c309a8f010866cdf8c57d3d3e7310f662c23caba38afb3b8f6a4172
